codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
170237,34,Girona,Selva,Blanes,Blanes,38790,19272,16737,1021,385,Blanes,1,l'Ajuntament,18.31,187,6.28,64,47.5
170950,34,Girona,Selva,Blanes,Lloret de Mar,37350,19099,15430,941,355,Lloret de Mar,1,l'Ajuntament,18.31,172,6.28,59,47.5
172023,34,Girona,Selva,Blanes,Tossa de Mar,5584,2816,2390,146,55,No,1,el Consell Comarcal,18.31,27,6.28,9,47.5
81017,13,Barcelona,Barcelonès,l'Hospitalet de Llobregat,l'Hospitalet de Llobregat,261068,126066,117162,7147,2695,l'Hospitalet de Llobregat,1,l'Ajuntament,17.71,1266,2.36,169,28.2
171609,10,Girona,Baix Empordà,Sant Feliu de Guíxols,Sant Feliu de Guíxols,21824,10761,9396,573,216,Sant Feliu de Guíxols,1,l'Ajuntament,17.66,101,4.15,24,36.6
170486,10,Girona,Baix Empordà,Sant Feliu de Guíxols,Castell-Platja d'Aro,10585,5215,4605,281,106,No,1,el Consell Comarcal,17.66,50,4.15,12,36.6
171812,10,Girona,Baix Empordà,Sant Feliu de Guíxols,Santa Cristina d'Aro,5203,2608,2157,132,50,Santa Cristina d'Aro,1,l'Ajuntament,17.66,23,4.15,5,36.6
80364,6,Girona,Anoia,Sant Feliu de Guíxols,Calonge,10897,5457,86,5,2,No,1,el Consell Comarcal,17.66,1,1.29,0,12.4
430017,1,Tarragona,Alt Camp,el Vendrell,Aiguamúrcia,893,457,367,22,8,No,1,el Consell Comarcal,17.47,4,13.73,3,44.4
430897,1,Tarragona,Alt Camp,el Vendrell,Montferri,383,206,137,8,3,No,1,el Consell Comarcal,17.47,1,13.73,1,44.4
431634,12,Tarragona,Baix Penedès,el Vendrell,el Vendrell,37153,18452,15633,954,360,el Vendrell,2,l'Ajuntament i el Consell Comarcal,17.47,167,6.18,59,40
